"original_title","original_indicator_code","our_title","short_indicator_description_de","short_indicator_description_en","long_indicator_description_de","long_indicator_description_en","unit","target","explanation_of_target","scoring","last_update","extracted","source_of_data","source_note","indicator_type","indicator_source","link","type","sdg","most_recent_year","ministerial_responsibility"
"Compliance with OECD FATF recommendations on beneficial ownership_OECD_2013","","Transparenz von Unternehmenseignern","Umsetzung der OECD FATF Empfehlungen zu Transparenz von Unternehmenseignern","Compliance of a country regarding beneficial ownership, as reported by the FATF.","Menschen aus Entwicklungsländern die in ihrem Land Vermögen ansparen dürfen, suchen deswegen oft Wege um dieses in anderen Ländern anzulegen. Sie suchen Länder mit stabilen und berechenbaren Finanzsystemen, so wie jene wo Ermittlung schwierig ist da es nur schwache Anti-Geldwäschegesetze gibt. Untersuchungen zu den größten Korruptionsfällen der letzten Jahre zeigen dass beträchtliche Maße an illegalen Geldsummen aus Entwicklungsländern in OECD-Länder ankamen. Die FATF (Financial Action Task Force) der OECD empfiehlt insgesamt 40 Maßnahmen gegen Geldwäsche. Die klare Benennung des wirtschaftlichen Nutznießers einer Unternehmung ist einer dieser 40 Empfehlungen.","Individuals from developing countries whose wealth is of an illicit nature often seek to place it outside their own countries not only to avoid scrutiny, but also as a means of diversifying their investment portfolios and spreading risk. For this reason, they are likely to choose countries with stable and predictable financial systems, as well as where the risk of detection is low because of weak anti-money laundering regimes. An examination of major corruption cases over recent years shows that significant amounts of illicit financial flows from developing countries have found their way into OECD countries. The commitments in these conventions have been incorporated into the Recommendations of the Financial Action Task Force (FATF), the most comprehensive instrument for tackling money laundering to date. Benefical ownership is one of 40 recommendations of the FATF to measure the compliance of a country.","Score","1","1 ist die höchste Empfehlung.",,,,"OECD","","global","OECD","http://www.gfintegrity.org/wp-content/uploads/2014/05/OECD-IFF-Responses-2013.pdf","[""economic""]","[8]",2013,"[""BMF""]"
"Annual freshwater withdrawals, total (billion cubic meters) ","ER.H2O.FWTL.K3","Frischwasserverbrauch","J?hrlicher Frischwasserverbrauch in Milliarden Kubikmeter","Annual freshwater withdrawal in cubic meters per capita","Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes. Data are for the most recent year available for 1987-2002.(Source: World Bank)","Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes. (Source: World Bank) The water withdrawal is presented as cubic meter per capita.","Mrd. Kubikmeter pro Jahr","","",,,,"World Bank","Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes. Data are for the most recent year available for 1987-2002.","global","OKF","http://data.worldbank.org/indicator/ER.H2O.FWTL.K3","[""ecologic""]","[6]",2013,"[""BMUB""]"
"Money, Politics and Transparency - Contribution and Expenditure Restrictions","","Beitrags- und Spendenstriktionen für politische Wahlprogramme","Dieser Indikator misst Beitrags- und Spendenrestriktionen für politische Wahlprogramme anhand von einem Punktesystem","This indicator measures contribution and expenditure restrictions during electoral campaigns based on a scorecard","Dieser Indikator ist eine von 5 Kategorien im Money, Politics and Transparency Index und misst Beitrags- und Ausgabenrestriktionen für politische Wahlprogramme anhand von einem Punktesystem. Er beinhaltet 12 Unterindikatoren wie ein Beitrags- und Spendenlimit per Gesetz für Firmen und Einzelpersonen oder ein gesetzliches Verbot von Barzahlungen und anonymen Zahlungen.","This indicator is one of 5 categories in the Money, Politics and Transparency Index and measures contribution and expenditure restrictions during electoral campaigns based on a scorecard. It includes 12 individual indicators incluiding a law to limit contributions from individuals and corporations to a maximum amount and laws to ban cash contributions as well as anonymous contributions.","Punkte","100","100 ist die höchstmögliche Punktzahl",,,,"Money, Politics and Transparency - Global Integrity, Sunlight Foundation, The Electoral Integrity Project","","national","OKF","https://data.moneypoliticstransparency.org/","[""economic"",""social""]","[16]",2014,"[""BMJ""]"
"Researchers in R&D (per million people)","doi: 10.1787/20ddfb0f-en","Wissenschaftler in Forschung und Entwicklung","Anzahl Forscher (beinhaltet auch Promotionsstudenten) relativiert auf eine Millionen Einwohner eines Landes","This indicator measures the number of researchers (also includes phd-postgraduates) in R&D per million people.","Dieser Indikator misst Anzahl Forscher (beinhaltet auch Promotionsstudenten) relativiert auf eine Millionen Einwohner eines Landes.","Researchers in R&D are professionals engaged in the conception or creation of new knowledge, products, processes, methods, or systems and in the management of the projects concerned. Postgraduate PhD students (ISCED97 level 6) engaged in R&D are included.","Pro 1000 Angestellte",,"Israel führt mit 17,5 Angestellten. Dieser Wert wird als erreichbarer Optimalwert verwendet",,,,"OECD","Researchers in R&D are professionals engaged in the conception or creation of new knowledge, products, processes, methods, or systems and in the management of the projects concerned. Postgraduate PhD students (ISCED97 level 6) engaged in R&D are included.","global","SDSN",,"[""economic""]","[8]",,"[""BMBF""]"
"Number of students from developing countries as a fraction of all foreign students","","Anzahl der StudentInnen aus sogenannten Entwicklungsländern","Anzahl der StudentInnen aus sogenannten Entwicklungsländern","Number of students from so called developing countries","Bildung ist ein wichtiger Faktor für nachhaltige Entwicklung und SDG 4 fordert einen besseren Zugang zu Bildung auf einem hohen Qualitätsniveau vom Vorschulalter bis ins Universitätsstadium. Die OECD Länder können einen wichtigen Beitrag zu Bildung in anderen Ländern leisten, in dem sie StudentInnen aus sogenannten Entwicklungsländern eine Universitätsausbildung ermöglichen. Der hier genutzte Indikator wurde vom Center for Global Development entwickelt. Er gibt den prozentualen Anteil der StudentInnen aus einem sogenannten Entwicklungsland an der Gesamtzahl aller ausländischen StudentInnen in einem Land an. Ein Entwicklungsland ist definiert als ein Land, dass gemäß der Klassifikation vom Development Assistance Committee der OECD berechtigt ist offizielle Entwicklungshilfegelder zu erhalten.","Education is an important factor for sustainable development and SDG 4 includes an improved access to all to high-quality education. The OECD countries can support this goal globally by enabling students of so called developing countries to obtain a university degree in an OECD country. The indicator used here has been developed by the Center for Global Development. It describes the share of students from ODA eligible countries among all foreign students in a given country. An ODA eligible country is defined using the classification of the OECD Development Assistance Committee. ","Prozent (Prozentanteil von allen ausländischen StudentInnen)","80","",,"27.10.2015",,"Commitment to Development Index","Number of students from ODA eligible countries as a fraction of all foreign students. Source: Organisation for Economic Co-operation and Development (OECD) Online Education Database.",,"CDI","http://www.cgdev.org/initiative/commitment-development-index/index","[""economic""]","[4]",2013,"[""BMBF""]"
"Modal split of freight transport, Railways","tsdtr220","Anteil Straßenverkehr am gesamten Güterverkehr","Anteil des gesamten Güterverkehrs, der über Straßen transportiert wird.","Share of total freight transported via roads","Dieser Indikator wird definiert als der Prozentanteil jedes Verkehrszweiges am Gesamtverkehr zu Lande in Tonnenkilometern. Dieser Indikator umfasst den Güterverkehr auf der Straße, der Schiene und den Binnenwasserwegen. Der Güterverkehr auf der Straße wird anhand der Bewegung sämtlicher im Meldeland registrierten Fahrzeuge ermittelt. Der Güterverkehr auf Schiene und Binnenwasserwegen wird anhand von Bewegungen innerhalb des Staatsgebiets - unabhängig von der Nationalität des Fahrzeugs oder Schiffs - ermittelt, aber es gibt je nach Land teilweise Abweichungen von dieser Definition. (Quelle: Eurostat)","This indicator is defined as the percentage share of each mode of transport in total inland transport expressed in tonne-kilometres (tkm). It includes transport by road, rail and inland waterways. Road transport is based on all movements of vehicles registered in the reporting country. Rail and Inland waterways transport s generally based on movements on national territory, regardless of the nationality of the vehicle or vessel, but there are some variations in definitions from country to country. (Source: Eurostat)","% des gesamten inländischen Frachtverkehrs in","40","Das EU Transport White Paper (2011) strebt eine Reduktion des Straßentransports zugunsten von Bahn und Binnenschifffahrt um 50% bis 2050 an. Die aktuellen Werte rangieren zwischen 100% und 40%, wobei über die Hälft der EU Länder über 80% liegen. Die Bewertung wurde dieser Verteilung angepasst. ",,,,"Eurostat","This indicator is defined as the percentage share of each mode of transport in total inland transport expressed in tonne-kilometres (tkm). It includes transport by road, rail and inland waterways. Road transport is based on all movements of vehicles registered in the reporting country. Rail and Inland waterways transport s generally based on movements on national territory, regardless of the nationality of the vehicle or vessel, but there are some variations in definitions from country to country. ","national","OKF","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=0&language=en&pcode=tsdtr220","[""ecologic""]","[9]",2013,"[""BMVBS""]"
"Modal split of passenger transport, cars","tsdtr210","Anteil der PKW Nutzung am Personenverkehr","Anteil der PKW Nutzung am Personenverkehr","Share of car use for passenger transport","This indicator is defined as the percentage share of each mode of transport in total inland transport, expressed in passenger-kilometres (pkm). It is based on transport by passenger cars, buses and coaches, and trains. All data should be based on movements on national territory, regardless of the nationality of the vehicle. However, the data collection methodology is not harmonised at the EU level.","This indicator is defined as the percentage share of each mode of transport in total inland transport, expressed in passenger-kilometres (pkm). It is based on transport by passenger cars, buses and coaches, and trains. All data should be based on movements on national territory, regardless of the nationality of the vehicle. However, the data collection methodology is not harmonised at the EU level.","% am Gesamt-Personenverkehr","3","Die best performer und worst performer wurden als Referenz genommen. Das EU Transport White Paper (2011) strebt eine Verschiebung des Personenverkehrs (Langstrecken) von der Straße hin zu Schienenverkehr an. Die umweltschädlichen Emissionen im Verkehr sollen erheblich gesenkt werden.",,,,"Eurostat","This indicator is defined as the percentage share of each mode of transport in total inland transport, expressed","national","OKF","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=0&language=en&pcode=tsdtr210","[""ecologic"",""social""]","[9]",2013,"[""BMVBS""]"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","Feinstaubbelastung","Durchschnittliche jährliche Feinstaubbelastung","Average annual exposure to PM2.5 air pollution","Feinstaub wird vor allem durch menschliches Handeln erzeugt: Primärer Feinstaub entsteht durch Emissionen aus Kraftfahrzeugen, Kraft- und Fernheizwerken, Öfen und Heizungen in Wohnhäusern, bei der Metall- und Stahlerzeugung oder auch beim Umschlagen von Schüttgütern. In Ballungsgebieten ist der Straßenverkehr die dominierende Staubquelle. Er gelangt aus Motoren, vor allem Dieselmotoren, aber auch durch Bremsen- und Reifenabrieb sowie durch die Aufwirbelung des Staubes von der Straßenoberfläche. Eine weitere wichtige Quelle ist die Landwirtschaft: Die Emissionen gasförmiger Vorläuferstoffe, insbesondere die Ammoniakemissionen aus der Tierhaltung, tragen zur sekundären Feinstaubbildung bei. PM2,5 kann beim Menschen in die Bronchien und Lungenbläschen und ultrafeine Partikel bis in das Lungengewebe und sogar in den Blutkreislauf eindringen. Je nach Größe und Eindringtiefe der Teilchen sind die gesundheitlichen Wirkungen von Feinstaub verschieden. Sie reichen von Schleimhautreizungen und lokalen Entzündungen in der Luftröhre und den Bronchien oder den Lungenalveolen bis zu verstärkter Plaquebildung in den Blutgefäßen, einer erhöhten Thromboseneigung oder Veränderungen der Regulierungsfunktion des vegetativen Nervensystems. Für verschiedene Kategorien von Feinstaub gibt es in Europa unterschiedliche Grenzwerte. Es gibt sowohl Tagesgrenzwerte, als auch zulässige Jahresmittelwerte. Für Für die PM2,5 Partikel ist seit dem 1 Januar 2015 der Jahresmittelwert von 25 µg/m3 verbindlich einzuhalten und ab dem 1. Januar 2020 dürfen die PM2,5-Jahresmittelwerte den Wert von 20 µg/m3 nicht mehr überschreiten. Der hier verwendete Indikator PM2.5 ist definiert als die durchschnittliche Belastung der Bevölkerung durch Partikel, die kleiner sind als 2.5 Mikronen und die in der Lage sind in die Atemwege zu gelangen. Die Belastung wird berechnet durch die Gewichtung der jährlichen PM2.5 Partikel nach der Bevölkerung in ländlichen und städtischen Gegenden.","Population-weighted exposure to ambient PM2.5 pollution is defined as the average level of exposure of a nation's population to concentrations of suspended particles measuring less than 2.5 microns in aerodynamic diameter, which are capable of penetrating deep into the respiratory tract and causing severe health damage. Exposure is calculated by weighting mean annual concentrations of PM2.5 by population in both urban and rural areas.","Mikrogramm pro Kubikmeter","0","Feinstaub kann in die Atemwege eindringen und sollte weitgehend vermieden werden. Laut Weltbank wurden bereits ab 10 Mikrogramm/m3 gesundheitliche Schäden durch Feinstaubbelastung beobachtet. Daher erhalten Länder mit einem Mittelwert bis 10 Mikrogramm/m3 noch eine mittelmäßige Bewertung. (Siehe http://data.worldbank.org/indicator/EN.ATM.PM25.MC.ZS)","0-3 = very good, 3.1-6 = good,6.1-10 = moderate, 10.1-14 = bad, 14.1 and above  very bad","23.10.2015",,"World Bank","Population-weighted exposure to ambient PM2.5 pollution is defined as the average level of exposure of a nation's population to concentrations of suspended particles measuring less than 2.5 microns in aerodynamic diameter, which are capable of penetrating deep into the respiratory tract and causing severe health damage. Exposure is calculated by weighting mean annual concentrations of PM2.5 by population in both urban and rural areas.","global","OKF","http://data.worldbank.org/indicator/EN.ATM.PM25.MC.M3","[""ecologic"",""social""]","[11,3]",2013,"[""BMUB""]"
"Area under organic farming","tsdpc440","Anteil an biologischer Landwirtschaft","Anteiles den biologische Landwirtschaft von der gesamten, für Landwirtschaft genutzten Fläche","The indicator is defined as the share of total utilised agricultural area (UAA) used for organic farming (existing organically-farmed areas and areas in process of conversion).","Ökolandbau ist eine landwirtschaftliche Produktionsmethode, die den größten Wert auf Umweltschutz und Tierwohl legt. Ökolandbau vermeidet oder reduziert stark den Gebrauch von chemischen Produkten wie Dünger, Pestizide, Zusätze und Medizin. Ökolandbau ist innerhalb der EU im Rahmen der Regulierung No 834/2007 definiert. Diese Regulierung beinhaltet ein umfassendes Rahmenwerkt für Ökolandbau, inklusive Tierhaltung, Kennzeichnung, Vermarktung und regelt den Import ökologisch produzierte Waren in die EU. Der Indikator Anteil des Ökolandbaus an landwirtschaftlich genutzten Fläche ist Teil der deutschen Nachhaltigkeitsstrategie (Stand Okt 2015). In der deutschen Nachhaltigkeitsstrategie wird 20% der Fläche als Zielmarke angegeben. Der Indikator misst den prozentualen Anteil der gesamten landwirtschaftlich genutzten Fläche, der für Ökolandbau genutzt wird. ","Organic farming is a method of production, which puts the highest emphasis on environmental protection and, with regard to livestock production, animal welfare considerations. It avoids or largely reduces the use of synthetic chemical inputs such as fertilisers, pesticides, additives and medical products. Farming is only considered to be organic at the EU level if it complies with Council Regulation (EC) No 834/2007, which has set up a comprehensive framework for the organic production of crops and livestock and for the labelling, processing and marketing of organic products, while also governing imports of organic products into the EU. This indicator measure the share of land, that is used for organic farming out of the overall area used for agricultural production. This indicator is also part of the German sustainability strategy (as of Oct 2015). In the German sustainability strategy the target for this indicator is set at 20 - without any timeline given. ","Prozent","30","Angesichts der großen Vorteile biologischer Landwirtschaft für Nachhaltigkeit und vor allem Biodiversität ist 30% in sehr moderater Optimalwert.",,"10/27/2014",,"Eurostat","Organic farming is a method of production, which puts the highest emphasis on environmental protection and, with regard to livestock production, animal welfare considerations. It avoids or largely reduces the use of synthetic chemical inputs such as fertilisers, pesticides, additives and medical products. Farming is only considered to be organic at the EU level if it complies with Council Regulation (EC) No 834/2007, which has set up a comprehensive framework for the organic production of crops and livestock and for the labelling, processing and marketing of organic products, while also governing imports of organic products into the EU. The detailed rules for the implementation of this Regulation are laid down in Commission Regulation (EC) No 889/2008.","national","OKF","http //ec.europa.eu/eurostat/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tsdpc440","ecologic","[15]",,"[""BMELV""]"
"Domestic material consumption by material - 1 000 t - biomass","tsdpc230","Inländischer Biomassenverbrauch","Dieser Indikator misst den den inländischen Gesamtverbrauch von Material (Biomasse), das direkt in einer Wirtschaft verwendet wird in Tonnen pro Kopf","The indicator Domestic Material Consumption (DMC) is defined as the total amount of material (biomass) directly used in an economy in tons per capita.","Dieser Indikator misst den den inländischen Gesamtverbrauch von Material (Biomasse), das direkt in einer Wirtschaft verwendet wird in Tonnen pro Kopf. Er errechnet sich aus dem gesamten Materialinput für eine Wirtschaft von dem Exporte abgezogen und Importe hinzugerechnet werden. Für diesen Indikator wurden die Daten zum Biomassenverbrauch in 1000 Tonnen in Bezug zu Bevölkerungszahlen von 2014 gestellt, um den Wert des Tonnenverbrauchs pro Kopf  zu erhalten.","The indicator Domestic Material Consumption (DMC) is defined as the total amount of material (biomass) directly used in an economy in tons per capita. DMC equals Direct Material Input (DMI) minus exports. DMI measures the direct input of materials for the use in the economy. DMI equals Domestic Extraction (DE) plus imports.","Biomassenverbrauch in Tonnen pro Kopf","","",,"11/18/2015",,"Eurostat","The indicator Domestic Material Consumption (DMC) is defined as the total amount of material directly used in an economy. DMC equals Direct Material Input (DMI) minus exports. DMI measures the direct input of materials for the use in the economy. DMI equals Domestic Extraction (DE) plus imports.","global","OKF","Source: http://ec.europa.eu/eurostat/tgm/refreshTableAction.do?tab=table&plugin=1&pcode=tsdpc230&language=en","[""economic"",""ecologic""]","[12]",2014,"BMWI"
"Productivity of artificial land","t2020_rd100","Produktivität von künstlich angelegter Flächen","Wirtschaftliche Produktivität gemessen an der Anteil der Fläche die bebaut oder versiegelt ist","Economic Productivity in relation to the share of a country's surface that is build-up or sealed by streets","Produktivität künstlich angelegter Fläche wird definiert als die Bruttosozialprodukt eines Landes geteilt durch seine gesamten künstlichen Fläche. Künstliche Fläche besteht aus bebauter Fläche (Gebäude, inklusiver Gewächshäuser) und versiegelter Fläche (Straßen und anderweitig versiegelter Fläche. Die Produktivität künstlich angelegter Fläche gibt an wie effizient Land zur Schaffung wirtschaftlichen Mehrwertes genutzt wird. Zur Berechnung der Produktivität künstlich angelegter Flächen nutzt Eurostat das Bruttoinlandsprodukt in Millionen € in Kaufkraftparität. Diese Messeinheit erlaubt einen Vergleich unter Ländern für ein Jahr. (Quelle: Eurostat)","Productivity of artificial land is defined as the gross domestic product (GDP) of a country divided by its total artificial land. Artificial land consists of built-up areas (areas covered with buildings and greenhouses) and non built-up areas (streets and sealed surfaces). Artificial land productivity shows whether built-up and non built-up areas are efficiently used to generate added economic value. For the calculation of artificial land productivity Eurostat uses the GDP in millions of PPS (Purchasing Power Standard). This unit allows to compare countries for the same year. (Source: Eurostat)","Million € (Kaufkraftparität) pro Quadratkilometer","","",,,,"Eurostat","Productivity of artificial land is defined as the gross domestic product (GDP) of a country divided by its total artificial land. Artificial land consists of built-up areas (areas covered with buildings and greenhouses) and non built-up areas (streets and sealed surfaces). Artificial land productivity shows whether built-up and non built-up areas are efficiently used to generate added economic value.Data are available for the years 2009 and 2012. For 2009, the EU aggregate provided regards only 23 countries (BG, CY, MT, RO are missing). It is envisaged to conduct a land cover/land use survey every three years. Comparability over time should be treated with caution due to the changes in the total coverage, the amendments introduced in the classification for the 2012 survey and the time that has elapsed since the first phase sample was stratified.For the calculation of artificial land productivity Eurostat uses the GDP in millions of PPS (Purchasing Power Standard). This unit allows to compare countries for the same year. ","national","OKF","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=0&language=en&pcode=t2020_rd100&tableSelection=1","[""economic"",""ecologic""]","[15,8]",2012,"[""BMUB""]"
"Recycling rate of e-waste","t2020_rt130","Recycling von Elektromüll","Dieser Indikator zeigt wie effektiv das Recycling von Elektromüll ist anhand der Sammelquote multipliziert bei der Effizienz der Abhandlung von Elektro- und Elektronik-Altgeräten (WEEE).","The indicator presents the effective recycling rate of e-waste which is the collection rate multiplied by the efficiency of treatment of waste electrical and electronic equipment (WEEE). ","Elektro- und Elektronikmüll sind auf Grund vieler schädlicher Bestandteile ein Risiko für unsere Umwelt. Allerdings bieten sie ein hohes Recyclingpotenzial durch seltene Metalle und andere hochwertigen Materialien. Dieser Indikator zeigt wie effektiv das Recycling von Elektromüll ist anhand der Sammelquote multipliziert bei der Effizienz der Abhandlung von Elektro- und Elektronik-Altgeräten (WEEE). WEEE kann nicht verglichen werden mit den Massen an Elektronik die jährlich auf den Markt kommen da Elektro- und Elektronikgeräte meistens weit länger als ein Jahr im Umlauf sind bevor sie entsorgt werden. Daher beruht die Sammelquote auf dem Gesamtgewicht des Elektromülls der in dem Jahr gesammelt wurde und dem Durchschnittsgewicht von Elektromüll der letzen drei Jahre in Prozenten.","Electrical and electronic waste (e-waste) is a risk to environment because of its hazardous components. However, it also provides a high potential for recycling precious metals and other highly valuable materials. The indicator presents the effective recycling rate of e-waste which is the collection rate multiplied by the efficiency of treatment of waste electrical and electronic equipment (WEEE). WEEE cannot simply be regarded as being equivalent to the amount put on the market in the same year, as EEE often takes longer than one year to become a waste. Therefore, the collection rate is calculated on the basis of the total weight of WEEE collected in the respective year expressed as a percentage of the average weight of EEE placed on the market (PoM)in the three preceding years: Collection rate yi = 3*WEEE collectedyi / (PoM yi-1+ PoMyi-2 + PoMyi-3). ","Prozent","45","From 2016, the annual collection target will be defined as the ratio between the collected amount and the average weight of EEE put on the market in the three preceding years. The collection target is set at 45 % in 2016 and will rise to 65 % in 2019.",,"30.11.2015",,"Eurostat","","national","OKF","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=0&language=en&pcode=t2020_rt130","[""ecologic""]","[9]",2012,"[""BMUB""]"
"Recycling rate of municipal waste ","t2020_rt120","Recycling von Haushaltsmüll","Der Indikator gibt in Prozent an wie viel Haushaltsmüll im jewiligen Land recyclet wird. ","The indicator shows how many percent of municipal waste gets recycled per year in a certain country. ","Haushaltsmüll besteht zu einem großen Teil aus Müll von Haushalten, kann aber auch ähnlichen Müll von kleinen Unternehmen und öffentlichen Institutionen beinhalten sowie Müll der nicht von der Kommune gesammelt wird. Diese letzte Komponente variiert von Kommune zu Kommune und von Land zu Land und ist abhängig vom lokalen Abfallmanagmentsystem. Für Gegenden ohne kommunales Abfallmanagementsystem wird die Müllmenge geschätzt. Die Daten beinhalten keinen Müll aus Agrarwirtschaft, Industrie und dem kommunalen Abwassersystem sowie kommunalen Bauabfällen und Schutt.","Municipal waste consists to a large extent of waste generated by households, but may also include similar wastes generated by small businesses and public institutions and wastes not collected by the municipality; this part of municipal waste may vary from municipality to municipality and from country to country, depending on the local waste management system. For areas not covered by a municipal waste collection scheme the amount of waste generated is estimated. The data do not include waste from agriculture, from industries, from the municipal sewage network and treatment, as well as municipal construction and demolition waste.","Prozent (Anteil Müll der recyclelt wird vom gesamten Haushaltsmüll)","100","",,"09.11.2015",,"Eurostat","The recycling rate is the tonnage recycled from municipal waste divided by the total municipal waste arising. Recycling includes material recycling, composting and anaerobic digestion. Municipal waste consists to a large extent of waste generated by households, but may also include similar wastes generated by small businesses and public institutions and collected by the municipality; this latter part of municipal waste may vary from municipality to municipality and from country to country, depending on the local waste management system. This variation in scope across the Member States means that cross-country comparison is problematic. For areas not covered by a municipal waste collection scheme the amount of waste generated is estimated. The Member states report each year the amount recycled and the total municipal waste generated to Eurostat.","national","OKF","http://ec.europa.eu/eurostat/tgm/graph.do?tab=graph&plugin=0&language=en&pcode=t2020_rt120&toolbox=type","[""ecologic""]","[11]",2013,"[""BMUB""]"
"Financial Secrecy Index","","Intransparenz der Finanzmärkte","Dieser Indikator bewertet die Transparenz der Finanzmärkte und wird vom Tax Justice Network entwickelt.","This indicator assesses the lack of transparency in financial markets. It is developed by the Tax Justice Network.","Der Financial Secrecy Index bewertet Staaten bzw. Gebiete mit eigenem Rechtssystem im Bezug auf die Intransparenz des Finanzmarktes und des Umfangs der offshore Finanzaktivitäten. Für den 2030-Watch Indikator wird lediglich die Bewertung der Intransparenz der Finanzmärkte zugrunde gelegt. Der Index ist politisch unabhängig und zielt darauf ab, ein besseres Verständnis üer die Intransparenz des globalen Finanzsystems, illegale Finanzflüsse und Kapitalflucht zu fördern. Der Index wird vom Tax Justice Network entwickelt und unterhalten und basiert auf umfangreichen Länderstudien. Details über die Methodologie und die Datenbasis finden sich auf der Webseite des FSI: http://www.financialsecrecyindex.com/. Der Financial Secrecy Index bewertet alle britischen überseeischen Gebiete und Gebiete, die der Britischen Krone unterstehen separat. Würde diese Gebiete aggregiert bewertet, so würde Groß Britannien den höchsten Wert für Intransparenz erhalten. ","The Financial Secrecy Index ranks jurisdictions according to their secrecy and the scale of their offshore finanical activities. For the 2030-Watch indicator only the data for secrecy is used. A politically neutral ranking, it is a tool for understanding global financial secrecy, tax havens or secrecy jurisdictions, and illicit financial flows or capital flight. The index is developed and mainained by the Tax Justice Network and is based on desk research. Details about the methodology and the information taken into account are found on the FSI website: http://www.financialsecrecyindex.com/. The index ranks British Overseas Territories and Crown Dependencies separately. If all these jurisdictions were aggregated the UK would receive the highest rate for secrecy.","Punkte nach FSI Methodology","20","",,,,"Tax Justice Network","The Financial Secrecy Index ranks jurisdictions according to their secrecy and the scale of their offshore finanical activities. A politically neutral ranking, it is a tool for understanding global financial secrecy, tax havens or secrecy jurisdictions, and illicit financial flows or capital flight.","global","OKF","http://www.financialsecrecyindex.com/introduction/fsi-2015-results","[""economic"",""social""]","[8,16]",2015,"[""BMF""]"
"Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","Anteil der Frauen in nationalen Parlamenten","Anteil der Frauen in nationalen Parlamenten ","Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.","","","% aller Abgeordneten des nationalen Parlaments","50","",,,,"World Bank","Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.","national","IAEG","http://data.worldbank.org/indicator/SG.GEN.PARL.ZS","[""social""]","[5]",2014,"[]"
,"","Wahrscheinlichkeit zwischen exakt 30 und 70 Jahren an Folge einer Herz- oder anderen schweren Krankheit zu sterben.","Wahrscheinlichkeit zwischen 30 und 70 Jahren an einer Krankheit zu sterben","Probability of mortality between the age of 30 and the age of 70 from a disease","Mortalitätswahrschenlichkeit berechnet anhand der registrierten Todesdaten, epidemologischen Daten und Krankheitsregistrierung in dem jeweiligen Land. Der Indikator gibt die Wahrscheinlichkeit in Prozent an. Dieser Indikator wurde von dem Sustainable Development Solutions Network vorgeschlagen, um SDG 3 zu messen.","Probability of mortality is based on death-registration data, epidemiological studies and disease registers of a country. The indicator expresses the mortality in percent. This indicator was suggested by the Sustainable Development Solutions Network to measure SDG3.","Prozent",,"",,"27.10.2015",,"WHO","","national","SDSN","http://apps.who.int/gho/data/view.main.2485","[""social""]","[3]",,"[""BMG""]"
