original_title,Marine protected areas,,,,,,
Cote d'Ivoire,2.1,,,,,,
Cameroon,6.8,,,,,,
"Congo, Rep.",33.6,,,,,,
Colombia,16.9,,,,,,
Comoros,0.3,,,,,,
Cabo Verde,0,,,,,,
Costa Rica,15.8,,,,,,
Caribbean small states,9.64075496,,,,,,
Cuba,7.6,,,,,,
Curacao,,,,,,,
Cayman Islands,1.2,,,,,,
Cyprus,0.9,,,,,,
Czech Republic,0,,,,,,
Germany,64.8,,,,,,
Djibouti,0.2,,,,,,
Dominica,0.1,,,,,,
Denmark,29.2,,,,,,
Dominican Republic,31.4,,,,,,
Algeria,1.2,,,,,,
East Asia & Pacific (excluding high income),2.367237798,,,,,,
Early-demographic dividend,6.593858971,,,,,,
East Asia & Pacific,16.97284057,,,,,,
Europe & Central Asia (excluding high income),9.19943334,,,,,,
Europe & Central Asia,12.99729614,,,,,,
Ecuador,75.7,,,,,,
"Egypt, Arab Rep.",13.2,,,,,,
Euro area,31.69037517,,,,,,
Eritrea,0,,,,,,
Spain,7.5,,,,,,
Estonia,27.5,,,,,,
Ethiopia,0,,,,,,
European Union,28.94406156,,,,,,
Fragile and conflict affected situations,1.66790728,,,,,,
Finland,16.7,,,,,,
Fiji,6.2,,,,,,
France,62.9,,,,,,
Faroe Islands,0,,,,,,
"Micronesia, Fed. Sts.",0.1,,,,,,
Gabon,9.3,,,,,,
UK,17.2,,,,,,
Georgia,2.4,,,,,,
Ghana,1.7,,,,,,
Gibraltar,,,,,,,
Guinea,4.2,,,,,,
"Gambia, The",1.2,,,,,,
Guinea-Bissau,45.9,,,,,,
Equatorial Guinea,2.7,,,,,,
Greece,6,,,,,,
Grenada,0.1,,,,,,
Greenland,36.7,,,,,,
Guatemala,13,,,,,,
Guam,2.5,,,,,,
Guyana,0.2,,,,,,
High income,23.71863182,,,,,,
"Hong Kong SAR, China",0,,,,,,
Honduras,3.3,,,,,,
Heavily indebted poor countries (HIPC),5.292641669,,,,,,
Croatia,16.3,,,,,,
Haiti,0,,,,,,
Hungary,0,,,,,,
IBRD only,9.456551376,,,,,,
IDA & IBRD total,7.930546982,,,,,,
IDA total,4.170131677,,,,,,
IDA blend,2.918469741,,,,,,
Indonesia,5.8,,,,,,
IDA only,4.575351528,,,,,,
Isle of Man,,,,,,,
India,2.1,,,,,,
Not classified,,,,,,,
Ireland,10.4,,,,,,
"Iran, Islamic Rep.",2.2,,,,,,
Iraq,0,,,,,,
Iceland,3.9,,,,,,
Israel,0.3,,,,,,
Italy,20.1,,,,,,
Jamaica,4.6,,,,,,
Jordan,30.1,,,,,,
Japan,5.1,,,,,,
Kazakhstan,0,,,,,,
Kenya,10,,,,,,
Kyrgyz Republic,0,,,,,,
Cambodia,0.5,,,,,,
Kiribati,20.2,,,,,,
St. Kitts and Nevis,0.5,,,,,,
"Korea, Rep.",4.3,,,,,,
Kosovo,,,,,,,
Kuwait,0.2,,,,,,
Latin America & Caribbean (excluding high income),16.14497185,,,,,,
Lao PDR,0,,,,,,
Lebanon,0,,,,,,
Liberia,2,,,,,,
Libya,4.3,,,,,,
St. Lucia,0.2,,,,,,
Latin America & Caribbean,15.5454497,,,,,,
Least developed countries: UN classification,4.144744961,,,,,,
Low income,3.469226885,,,,,,
Liechtenstein,0,,,,,,
Sri Lanka,1.3,,,,,,
Lower middle income,4.990841329,,,,,,
Low & middle income,7.814642948,,,,,,
Lesotho,0,,,,,,
Late-demographic dividend,9.992160669,,,,,,
Lithuania,30.6,,,,,,
Luxembourg,0,,,,,,
Latvia,44.3,,,,,,
"Macao SAR, China",0,,,,,,
St. Martin (French part),,,,,,,
Morocco,1.3,,,,,,
Monaco,100.3,,,,,,
Moldova,0,,,,,,
Madagascar,3.4,,,,,,
Maldives,0.4,,,,,,
Middle East & North Africa,3.758350536,,,,,,
Mexico,19,,,,,,
Marshall Islands,3.4,,,,,,
Middle income,8.572925506,,,,,,
Macedonia,0,,,,,,
Mali,0,,,,,,
Malta,4.7,,,,,,
Myanmar,0.2,,,,,,
Middle East & North Africa (excluding high income),3.78701097,,,,,,
Montenegro,0,,,,,,
Mongolia,0,,,,,,
Northern Mariana Islands,20.4,,,,,,
Mozambique,18,,,,,,
Mauritania,32.3,,,,,,
Mauritius,0.3,,,,,,
Malawi,0,,,,,,
Malaysia,2.3,,,,,,
North America,16.43287649,,,,,,
Namibia,28.1,,,,,,
New Caledonia,56.6,,,,,,
Niger,0,,,,,,
Nigeria,0.2,,,,,,
Nicaragua,37.7,,,,,,
Netherlands,57.7,,,,,,
Norway,60.7,,,,,,
Nepal,0,,,,,,
Nauru,0,,,,,,
New Zealand,12.5,,,,,,
OECD members,24.35665361,,,,,,
Oman,1.3,,,,,,
Other small states,14.06338722,,,,,,
Pakistan,5.6,,,,,,
Panama,7.4,,,,,,
Peru,6.8,,,,,,
Philippines,2.5,,,,,,
Palau,31.4,,,,,,
Papua New Guinea,0.4,,,,,,
Poland,52.7,,,,,,
Pre-demographic dividend,5.082191565,,,,,,
Puerto Rico,1.8,,,,,,
"Korea, Dem. People’s Rep.",0.1,,,,,,
Portugal,5.5,,,,,,
Paraguay,0,,,,,,
Pacific island small states,2.77981581,,,,,,
Post-demographic dividend,25.02325191,,,,,,
French Polynesia,0.1,,,,,,
Qatar,1.6,,,,,,
Romania,42.8,,,,,,
Russia,11.5,,,,,,
Rwanda,0,,,,,,
South Asia,2.300932953,,,,,,
Saudi Arabia,3.4,,,,,,
Sudan,0,,,,,,
Senegal,14.4,,,,,,
Singapore,1.5,,,,,,
Solomon Islands,0.9,,,,,,
Sierra Leone,7.8,,,,,,
El Salvador,9.5,,,,,,
San Marino,0,,,,,,
Somalia,0,,,,,,
Serbia,0,,,,,,
Sub-Saharan Africa (excluding high income),6.070988381,,,,,,
South Sudan,0,,,,,,
Sub-Saharan Africa,6.070893396,,,,,,
Small states,13.0299761,,,,,,
Sao Tome and Principe,0,,,,,,
Suriname,22.9,,,,,,
Slovakia,0,,,,,,
Slovenia,98.5,,,,,,
Sweden,10.5,,,,,,
Swaziland,0,,,,,,
Sint Maarten (Dutch part),,,,,,,
Seychelles,1,,,,,,
Syrian Arab Republic,0.6,,,,,,
Turks and Caicos Islands,1,,,,,,
Chad,0,,,,,,
East Asia & Pacific (IDA & IBRD countries),2.38397195,,,,,,
Europe & Central Asia (IDA & IBRD countries),9.786776299,,,,,,
Togo,2.8,,,,,,
Thailand,5.2,,,,,,
Tajikistan,0,,,,,,
Turkmenistan,0,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),15.60651377,,,,,,
Middle East & North Africa (IDA & IBRD countries),3.78701097,,,,,,
Timor-Leste,3.8,,,,,,
Tonga,9.6,,,,,,
South Asia (IDA & IBRD),2.300932953,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),6.070893396,,,,,,
Trinidad and Tobago,3,,,,,,
Tunisia,2.7,,,,,,
Turkey,0.4,,,,,,
Tuvalu,0.3,,,,,,
Tanzania,18.2,,,,,,
Uganda,0,,,,,,
Ukraine,10.7,,,,,,
Upper middle income,9.861066502,,,,,,
Uruguay,1.8,,,,,,
USA,31.7,,,,,,
Uzbekistan,0,,,,,,
St. Vincent and the Grenadines,1.2,,,,,,
"Venezuela, RB",16.8,,,,,,
British Virgin Islands,2.1,,,,,,
Virgin Islands (U.S.),2,,,,,,
Vietnam,1.8,,,,,,
Vanuatu,0,,,,,,
West Bank and Gaza,,,,,,,
World,12.18170699,,,,,,
Samoa,1.1,,,,,,
"Yemen, Rep.",3.6,,,,,,
South Africa,13.4,,,,,,
"Congo, Dem. Rep.",4.3,,,,,,
Zambia,0,,,,,,
Zimbabwe,0,,,,,,
