Lithuania,5.5,6.7,6.7
Luxembourg,0.7,0.2,0
Latvia,3.9,3.4,4.8
"Macao SAR, China",1,1.4,1.3
St. Martin (French part),,,
Morocco,1,1.3,1.2
Monaco,,,
Moldova,3.2,4.1,5.6
Madagascar,,,
Maldives,,0.9,2.9
Middle East & North Africa,3.9,,3.8
Mexico,15.7,18.6,21.3
Marshall Islands,,,4.7
Middle income,5.8,,6.5
Macedonia,1.6,1.1,1.4
Mali,,,10.2
Malta,1.4,1.7,2.9
Myanmar,,,2.5
Middle East & North Africa (excluding high income),3.9,,4.2
Montenegro,3.2,1.6,2.7
Mongolia,7.5,7.3,7.1
Northern Mariana Islands,,,
Mozambique,,,
Mauritania,,,11.4
Mauritius,,,
Malawi,,,1.8
Malaysia,,,
North America,3.6,,4.4
Namibia,,,16.9
New Caledonia,,,
Niger,,,4.5
Nigeria,,,10.1
Nicaragua,,,11.5
Netherlands,,0.7,0.9
Norway,0.6,0.9,0.5
Nepal,,,
Nauru,,,1.3
New Zealand,0.9,1,0.9
OECD members,3.3,,4
Oman,,,
Other small states,10,,11.4
Pakistan,,,7.8
Panama,,17.4,17.5
Peru,6.7,6.6,9.5
Philippines,9.9,9.4,8.8
Palau,,,3.1
Papua New Guinea,,,
Poland,0.7,0.8,0.99
Pre-demographic dividend,8.2,,13.3
Puerto Rico,18.5,23.9,26.5
"Korea, Dem. People’s Rep.",,,4.7
Portugal,0.9,1.4,1.2
Paraguay,8.8,9.3,10.2
Pacific island small states,3.5,,4
Post-demographic dividend,1.9,,2.2
French Polynesia,,,
Qatar,,,7.2
Romania,1.5,1.7,1.9
Russia,9.5,8.9,9.2
Rwanda,,,
South Asia,3.7,,3.9
Saudi Arabia,,,6.2
Sudan,,,6.5
Senegal,,,7.9
Singapore,0.3,0.3,0.2
Solomon Islands,,,
Sierra Leone,,,1.9
El Salvador,64.2,41.3,42.7
San Marino,,,
Somalia,,,5.6
Serbia,1.3,1.6,1.2
Sub-Saharan Africa (excluding high income),9.5,,14.4
South Sudan,,,13.9
Sub-Saharan Africa,9.5,,14.4
Small states,13,,14.4
Sao Tome and Principe,,,
Suriname,,,9.5
Slovakia,1.1,1.4,1.4
Slovenia,0.7,0.6,0.7
Sweden,0.9,0.9,0.7
Swaziland,,,
Sint Maarten (Dutch part),,,
Seychelles,,,
Syrian Arab Republic,,,
Turks and Caicos Islands,,,
Chad,,,9.2
East Asia & Pacific (IDA & IBRD countries),1.5,,2.1
Europe & Central Asia (IDA & IBRD countries),5.1,,5.2
Togo,,,9.2
Thailand,3.9,4.3,4.9
Tajikistan,,1.4,1.3
Turkmenistan,,,4.3
Latin America & the Caribbean (IDA & IBRD countries),22.9,,23.6
Middle East & North Africa (IDA & IBRD countries),3.9,,4.2
Timor-Leste,,,
Tonga,,,0.1
South Asia (IDA & IBRD),3.7,,3.9
Sub-Saharan Africa (IDA & IBRD countries),9.5,,14.4
Trinidad and Tobago,25.9,30.3,28.3
Tunisia,,,3.1
Turkey,,,4.3
Tuvalu,,,20.3
Tanzania,,,7.9
Uganda,11.8,10.5,11.5
Ukraine,,,
Upper middle income,7.2,,7.3
Uruguay,7.8,7.6,7.9
USA,,3.9,4.7
Uzbekistan,,,3.2
St. Vincent and the Grenadines,,,25.6
"Venezuela, RB",62,,53.8
British Virgin Islands,,,
Virgin Islands (U.S.),,,
Vietnam,,,
Vanuatu,,,2.9
West Bank and Gaza,,,0.6
World,5.3,,6.2
Samoa,,3.2,
"Yemen, Rep.",,6.7,6.5
South Africa,33,31.9,30.8
"Congo, Dem. Rep.",,,12.5
Zambia,,,
Zimbabwe,,,6.7
